epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.16285,1.78718,2.3833,2.05986,0.00013,0.03922,8e-05,2e-05,5.31281,inf,193.724,0.070625,0.00326389,0.00326389
2,12.0957,1.91629,1.72597,2.0204,0,0,0,0,0.8832,134.754,2.68234,0.0404944,0.0064666,0.0064666
3,18.1061,1.82139,1.54999,1.94345,0.00594,0.05882,0.00319,0.00072,3.71766,43.3232,7.27667,0.0102317,0.00953731,0.00953731
4,24.1667,1.72446,1.50099,1.88631,0.14475,0.23529,0.09669,0.02284,2.9691,12.9818,3.99666,0.009406,0.009406,0.009406
5,30.1531,1.65464,1.41025,1.79618,0.17925,0.19608,0.06906,0.01753,3.09223,3.88012,4.01886,0.009208,0.009208,0.009208
6,36.1669,1.5895,1.28367,1.73991,0.18156,0.16667,0.0912,0.03483,2.72957,4.85936,3.49059,0.00901,0.00901,0.00901
7,42.2575,1.58476,1.24251,1.75028,0.20919,0.20749,0.07812,0.0201,3.27514,2.97614,3.81839,0.008812,0.008812,0.008812
8,48.2396,1.57646,1.21542,1.72085,0.06629,0.19608,0.0303,0.01151,2.89854,5.02536,3.7924,0.008614,0.008614,0.008614
9,54.3214,1.58522,1.22223,1.73679,0.27129,0.18627,0.14354,0.04956,2.71634,4.52754,3.35889,0.008416,0.008416,0.008416
10,60.4901,1.44204,1.11328,1.62953,0.66149,0.76634,0.66231,0.28539,1.82116,1.39216,1.93168,0.008218,0.008218,0.008218
11,66.5948,1.44787,1.05508,1.61214,0.68538,0.7549,0.69442,0.29486,1.86641,1.77475,1.9183,0.00802,0.00802,0.00802
12,72.6385,1.40493,1.01764,1.58083,0.60179,0.71569,0.62822,0.32263,1.76675,1.92362,1.90634,0.007822,0.007822,0.007822
13,78.7042,1.40357,0.9961,1.58584,0.66793,0.68627,0.53646,0.22697,2.04158,1.49112,2.16174,0.007624,0.007624,0.007624
14,85.0369,1.3692,0.97581,1.55446,0.33495,0.21569,0.16123,0.04955,2.5665,4.20175,3.16993,0.007426,0.007426,0.007426
15,91.5507,1.35822,0.95481,1.55198,0.85531,0.81138,0.794,0.38408,1.64756,1.25283,1.72957,0.007228,0.007228,0.007228
16,98.4185,1.34071,0.95266,1.54727,0.50198,0.58304,0.45473,0.17288,2.1601,1.61454,2.24819,0.00703,0.00703,0.00703
17,105.179,1.31496,0.92927,1.51139,0.51936,0.60784,0.36347,0.14219,2.10425,2.07442,2.4308,0.006832,0.006832,0.006832
18,111.798,1.26882,0.86827,1.48391,0.86796,0.96673,0.95236,0.47124,1.48772,1.02325,1.52106,0.006634,0.006634,0.006634
19,118.62,1.29094,0.88203,1.5072,0.91279,0.97059,0.96524,0.48827,1.46962,0.87085,1.55028,0.006436,0.006436,0.006436
20,125.209,1.19837,0.82136,1.43044,0.6484,0.59804,0.5565,0.19548,2.29369,1.73473,2.36289,0.006238,0.006238,0.006238
21,131.853,1.26792,0.83823,1.47203,0.86347,0.94118,0.94262,0.60462,1.28527,0.80322,1.40593,0.00604,0.00604,0.00604
22,138.438,1.206,0.81492,1.44167,0.57277,0.53922,0.50077,0.2417,1.73333,1.95764,2.01578,0.005842,0.005842,0.005842
23,145.086,1.21402,0.8168,1.43798,0.32493,0.37754,0.27522,0.10623,2.4729,2.16278,2.79078,0.005644,0.005644,0.005644
24,151.681,1.17306,0.7964,1.42269,0.8283,0.80404,0.81376,0.4316,1.60164,1.11418,1.70686,0.005446,0.005446,0.005446
25,158.193,1.14978,0.78194,1.39639,0.87443,0.88758,0.89552,0.44794,1.63594,0.89529,1.64455,0.005248,0.005248,0.005248
