epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,164.814,1.12448,0.74759,1.38987,0.90735,0.90196,0.93573,0.63836,1.17998,0.68953,1.33871,0.00505,0.00505,0.00505
27,171.547,1.143,0.75248,1.39013,0.80958,0.84314,0.84604,0.53804,1.2943,0.89584,1.43893,0.004852,0.004852,0.004852
28,178.353,1.14142,0.76122,1.39924,0.95723,0.94118,0.96378,0.54894,1.459,0.75634,1.48124,0.004654,0.004654,0.004654
29,184.902,1.14549,0.75625,1.3914,0.78564,0.82644,0.83068,0.44255,1.63079,0.87443,1.72542,0.004456,0.004456,0.004456
30,191.451,1.07815,0.69781,1.3535,0.8055,0.84314,0.84827,0.59237,1.15261,0.93572,1.35976,0.004258,0.004258,0.004258
31,198.069,1.05648,0.66785,1.33095,0.8905,0.95675,0.96734,0.46237,1.80817,0.7868,1.81525,0.00406,0.00406,0.00406
32,204.599,1.02658,0.66858,1.314,0.90911,0.92157,0.96427,0.62897,1.1275,0.61769,1.27683,0.003862,0.003862,0.003862
33,211.133,1.02238,0.66753,1.30611,0.9686,0.9902,0.99373,0.72875,0.9892,0.53235,1.17968,0.003664,0.003664,0.003664
34,217.816,1.04989,0.66182,1.3394,0.89976,0.97059,0.96767,0.69671,1.07802,0.66016,1.28484,0.003466,0.003466,0.003466
35,224.507,0.99636,0.64813,1.30511,0.93688,0.94118,0.97342,0.5773,1.34989,0.67534,1.41861,0.003268,0.003268,0.003268
36,231.007,1.02667,0.66793,1.31791,0.96101,0.9667,0.98709,0.62153,1.23821,0.60237,1.32361,0.00307,0.00307,0.00307
37,237.499,0.9795,0.63117,1.28664,0.85508,0.89216,0.91883,0.61154,1.27871,0.6417,1.38819,0.002872,0.002872,0.002872
38,244.182,0.97837,0.63585,1.28176,0.91077,0.90067,0.94579,0.61129,1.24478,0.71009,1.3793,0.002674,0.002674,0.002674
39,250.687,0.95114,0.6014,1.2644,0.90439,0.89216,0.93581,0.57611,1.43223,0.67945,1.52907,0.002476,0.002476,0.002476
40,257.213,0.94832,0.6146,1.27188,0.95165,0.96479,0.97747,0.66691,1.13877,0.54134,1.26326,0.002278,0.002278,0.002278
41,271.361,0.89324,0.53233,1.3479,0.94331,0.97878,0.98667,0.61956,1.28077,0.57128,1.32731,0.00208,0.00208,0.00208
42,277.452,0.80743,0.46657,1.27686,0.98044,0.97059,0.9888,0.70858,1.08402,0.51802,1.1965,0.001882,0.001882,0.001882
43,283.845,0.79246,0.44642,1.26567,0.95974,0.98039,0.9852,0.71524,1.00546,0.50352,1.19127,0.001684,0.001684,0.001684
44,290.432,0.79521,0.43697,1.27793,0.88227,0.85294,0.91686,0.68498,0.98495,0.60762,1.27465,0.001486,0.001486,0.001486
45,296.858,0.72614,0.42229,1.20518,0.93154,0.97059,0.98142,0.76423,0.85568,0.53233,1.10985,0.001288,0.001288,0.001288
46,303.191,0.74233,0.41852,1.21389,0.95126,0.95667,0.97746,0.75383,0.87356,0.52427,1.09425,0.00109,0.00109,0.00109
47,309.223,0.71251,0.40209,1.1969,0.9713,0.99558,0.99461,0.75087,0.92681,0.44658,1.10206,0.000892,0.000892,0.000892
48,315.207,0.69472,0.39445,1.17232,0.9355,0.99544,0.99023,0.74994,0.90385,0.47584,1.10661,0.000694,0.000694,0.000694
49,321.14,0.67516,0.38788,1.16915,0.92524,0.95098,0.98096,0.69943,1.03759,0.49749,1.19421,0.000496,0.000496,0.000496
50,327.208,0.67495,0.38319,1.16287,0.96116,0.97038,0.98926,0.76311,0.87932,0.44551,1.09301,0.000298,0.000298,0.000298
