epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,334.571,0.9943,0.64261,1.29976,0.87271,0.94104,0.93967,0.61246,1.24138,0.66956,1.40135,0.005743,0.005743,0.005743
45,343.005,0.97124,0.6234,1.28129,0.96213,0.97059,0.99129,0.74132,0.9291,0.53944,1.15326,0.005644,0.005644,0.005644
46,350.975,0.99706,0.62441,1.27835,1,0.98641,0.995,0.72546,1.04507,0.52006,1.19031,0.005545,0.005545,0.005545
47,359.424,0.99025,0.62239,1.27533,0.95744,0.98039,0.99088,0.66294,1.24265,0.57037,1.35526,0.005446,0.005446,0.005446
48,367.629,0.95736,0.60211,1.26724,0.96062,0.9902,0.99334,0.78245,0.87532,0.508,1.10212,0.005347,0.005347,0.005347
49,375.387,0.9406,0.59268,1.25255,0.97676,0.97059,0.98906,0.79418,0.81331,0.49514,1.06899,0.005248,0.005248,0.005248
50,383.114,0.94574,0.62311,1.27682,0.94277,0.96898,0.98433,0.74008,0.94177,0.50316,1.13994,0.005149,0.005149,0.005149
51,390.956,0.89916,0.58308,1.22913,0.93402,0.97153,0.98473,0.56042,1.42401,0.6527,1.43958,0.00505,0.00505,0.00505
52,398.402,0.90227,0.57052,1.22922,0.93901,0.93137,0.95522,0.54654,1.63622,0.63757,1.64581,0.004951,0.004951,0.004951
53,406.277,0.89792,0.58917,1.22584,0.96073,0.96078,0.97984,0.76829,0.84676,0.46976,1.09293,0.004852,0.004852,0.004852
54,413.176,0.89432,0.5496,1.22233,0.93744,0.93137,0.97277,0.76085,0.84849,0.47349,1.10536,0.004753,0.004753,0.004753
55,419.084,0.93244,0.57535,1.2548,0.9139,0.96078,0.9738,0.72792,0.95486,0.53124,1.18295,0.004654,0.004654,0.004654
56,424.943,0.91619,0.56409,1.21865,0.91032,0.8957,0.89949,0.51631,1.62613,0.75722,1.61906,0.004555,0.004555,0.004555
57,430.788,0.88926,0.56545,1.22285,0.95136,0.95884,0.96842,0.69835,1.09497,0.52895,1.26291,0.004456,0.004456,0.004456
58,436.679,0.86853,0.5554,1.21416,0.95622,0.97059,0.98144,0.74264,0.95165,0.58261,1.18987,0.004357,0.004357,0.004357
59,442.587,0.86314,0.53996,1.20593,0.92312,0.94178,0.97545,0.68606,1.01247,0.54698,1.19456,0.004258,0.004258,0.004258
60,448.512,0.83043,0.52781,1.18783,0.92341,0.96078,0.95463,0.69965,1.00946,0.54384,1.21317,0.004159,0.004159,0.004159
61,455.246,0.87515,0.56468,1.22463,0.98977,0.94841,0.99169,0.72122,1.0419,0.51929,1.23163,0.00406,0.00406,0.00406
62,463.292,0.82791,0.53705,1.19397,0.93441,0.97775,0.97768,0.68985,1.10212,0.52241,1.21804,0.003961,0.003961,0.003961
63,471.681,0.81667,0.52825,1.18942,0.75926,0.76471,0.78823,0.56691,1.21305,0.88543,1.52098,0.003862,0.003862,0.003862
64,479.656,0.83117,0.52693,1.19189,0.95157,0.96078,0.98871,0.79621,0.81832,0.46062,1.08878,0.003763,0.003763,0.003763
